Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr15	19809728	0	0
chr15	19844578	0.1031918738	0.00359623680193
chr15	19850381	0.1032565516	0.004195434570865
chr15	19866420	0.1111991554	0.005978957824325
chr15	19866512	0.1205349975	0.005990047044095
chr15	19872912	0.3148203104	0.008004897030655
chr15	19878643	0.7087923598	0.012066986044669
chr15	19879854	0.709859662	0.012926626095351
chr15	19880385	0.2197608752	0.013043319120082
chr15	19885603	0.1416650747	0.013782527479867
chr15	19895189	0.1403091896	0.015127531371373
chr15	19895212	0.1372557211	0.015130688252958
chr15	19896055	0.1358972285	0.015245249616583
chr15	19906196	0.1358746733	0.016623154678519
chr15	19914453	0.1358668694	0.017745007419154
chr15	19938398	0.1364114523	0.021011379644478
chr15	19939549	0.1368961305	0.021168947090683
chr15	19956119	2.360239057	0.060278108265173
chr15	19956288	2.8699480281	0.060763129481922
chr15	19956611	0.4011543523	0.060892702337715
chr15	19956943	0.4027051251	0.061026400439248
chr15	19958145	0.380274787	0.061483490733222
chr15	19959357	0.3394524925	0.061894907154132
chr15	19959635	0.3060586742	0.06197999146556
chr15	19961836	0.3030617995	0.06264703048626
chr15	19962368	0.3004211869	0.06280685455769
chr15	19964897	0.2983484154	0.063561377700237
chr15	19967342	0.2959093406	0.064284876038004
chr15	19967455	0.2934110454	0.064318031486134
chr15	19968443	0.2921764879	0.064606701856179
chr15	19971047	0.2911647542	0.065364894876116
chr15	19971583	0.2904091069	0.065520554157415
chr15	19971839	0.2886558185	0.065594450046951
chr15	19973035	0.2860008578	0.065936507072879
chr15	19975692	0.2814773258	0.06668439232753
chr15	19981155	0.2823116414	0.068226660824498
chr15	19982805	0.2905821204	0.068706121323158
chr15	19986488	4.8109549198	0.086424868292782
chr15	19986758	4.8646868892	0.087738333752866
chr15	19986833	4.8556065239	0.088102504242158
chr15	19987698	0	0.088102504242158
chr15	19988669	0	0.088102504242158
chr15	19989705	0	0.088102504242158
chr15	20007545	0	0.088102504242158
chr15	20210624	0	0.088102504242158
chr15	20217334	3.8295551221	0.113798819111449
chr15	20218490	3.8295551221	0.118225784832597
chr15	20221954	3.8583391763	0.1315910717393
chr15	20222718	3.8809376442	0.134556108099469
chr15	20228480	3.881909491	0.156923670586611
chr15	20235225	6.8227243211	0.20294294613243
chr15	20240734	6.884436111	0.240869304667929
chr15	20240759	6.8922748249	0.241041611538552
chr15	20246097	6.8922748249	0.277832574553868
chr15	20252038	6.8922748249	0.318779579288599
chr15	20252975	6.8926132895	0.32523795794086
chr15	20255796	6.8930838875	0.344683347587498
chr15	20257350	6.8862317494	0.355384551726065
chr15	20258581	6.8862317494	0.363861503009577
chr15	20271733	6.8862317494	0.454429222977686
chr15	20276841	6.8854431505	0.48960006659044
chr15	20280036	6.8938325998	0.511625861746801
chr15	20280526	6.8833704834	0.514998713283667
chr15	20280626	6.8234365337	0.515681056937037
chr15	20283488	6.825624323	0.535215993749463
chr15	20283617	5.4026756679	0.535912938910622
chr15	20284161	5.4026756679	0.538851994473959
chr15	20288172	3.956305437	0.554720735581766
chr15	20289036	3.956305437	0.558138983479334
chr15	20293033	3.9563517325	0.573952521354137
chr15	20306974	3.9584810013	0.62913770499326
chr15	20317387	3.9648817706	0.670424018870518
chr15	20317687	3.9648817706	0.671613483401698
chr15	20322579	3.9725093373	0.69104699907977
chr15	20338735	10.6954326797	0.863842409453003
chr15	20338985	10.7911573044	0.866540198779103
chr15	20339627	10.7911573044	0.873468121768528
chr15	20344377	10.764883888	0.924601320236528
chr15	20344556	10.764883888	0.92652823445248
chr15	20344961	10.764883888	0.93088801242712
chr15	20345803	10.5945816717	0.93980865019469
chr15	20346938	10.0541556399	0.951220116845977
chr15	20350467	6.4841637893	0.974102730858417
chr15	20358643	6.2037232677	1.02482437229513
chr15	20359322	5.9998398345	1.02889826354276
chr15	20360393	6.0034097903	1.03532791542817
chr15	20360608	5.8334872943	1.03658211519644
chr15	20364475	5.8309618949	1.05913044484402
chr15	20365369	5.8300044778	1.06434246884718
chr15	20365960	5.8269139996	1.06778617502094
chr15	20367689	5.7176800511	1.07767204382929
chr15	20367791	5.5842011644	1.07824163234806
chr15	20369730	5.4337036222	1.08877758367151
chr15	20369739	5.2576452222	1.08882490247851
chr15	20372241	5.2412539332	1.10193851981937
chr15	20373179	5.2646233288	1.10687673650179
chr15	20375391	5.2757469003	1.11854668864525
chr15	20376987	5.3154427031	1.1270301351994
chr15	20377603	5.4340069042	1.13037748345239
chr15	20377647	5.5603398284	1.13062213840484
chr15	20378782	5.7460767146	1.13714393547591
chr15	20379245	5.9562062794	1.13990165898327
chr15	20379902	6.2682732412	1.14401991450274
chr15	20379951	6.4229574894	1.14433463941972
chr15	20380145	6.511325715	1.14559783660843
chr15	20380209	6.528242793	1.14601564414718
chr15	20380902	6.5284915513	1.15053988879223
chr15	20381038	6.5284915513	1.15142776364321
chr15	20381612	6.5275874275	1.15517459882659
chr15	20381674	6.5207412337	1.15557888478308
chr15	20381994	6.5163818103	1.15766412696238
chr15	20382061	6.5004840073	1.15809965939087
chr15	20382346	6.4446534244	1.15993638561682
chr15	20382975	6.2240575519	1.16385131781696
chr15	20382977	6.0597496699	1.1638634373163
chr15	20383452	5.9505327245	1.16668994036044
chr15	20384883	5.6676320361	1.1748003218041
chr15	20385246	5.4929241611	1.17679425327458
chr15	20386417	5.1003428911	1.18276675480006
chr15	20386500	4.4985958517	1.18314013825575
chr15	20386514	4.3611713507	1.18320119465466
chr15	20386608	3.6017441511	1.18353975860486
chr15	20386626	1.0276518872	1.18355825633883
chr15	20390317	1.0268727316	1.18734844359117
chr15	20390986	1.0237079222	1.18803330419112
chr15	20392843	1.0259268241	1.18993845030347
chr15	20394206	1.0282256351	1.19133992184411
chr15	20395003	1.0370196929	1.19216642653936
chr15	20396496	1.7012277159	1.19470635951919
chr15	20396754	1.8138371919	1.19517432951471
chr15	20396773	1.8701292226	1.19520986196994
chr15	20396941	1.7976182533	1.1955118618365
chr15	20397521	1.758660174	1.19653188473742
chr15	20398293	0.6030192678	1.19699741561216
chr15	20398304	0.3264810918	1.19700100690417
chr15	20401728	0.3221416511	1.19810401991753
chr15	20407661	0.5812662716	1.20155267270694
chr15	20407799	0.8416372605	1.20166881864889
chr15	20408806	0.8413499119	1.20251605801017
chr15	20409030	0.8416439529	1.20270458625562
chr15	20409262	0.8411777185	1.20289973948631
chr15	20410567	0.8860890926	1.20405608575215
chr15	20410685	0.8866509753	1.20416071056724
chr15	20411418	2.1920054604	1.20576745056971
chr15	20417778	2.2482573669	1.2200663674232
chr15	20418203	2.2727354725	1.22103227999901
chr15	20418387	2.3014881854	1.22145575382512
chr15	20420026	11.8898514129	1.24094322029087
chr15	20420048	12.9707630755	1.24122857707853
chr15	20420899	12.9707630758	1.25226669645604
chr15	20421383	12.9689567409	1.25854367151863
chr15	20421580	0	1.25854367151863
chr15	20424722	0	1.25854367151863
chr15	20642842	14.0082992069	4.3140338945212
chr15	20642863	14.3622614491	4.31433550201163
chr15	20643930	16.4602030568	4.33189853867324
chr15	20644036	17.8094334852	4.33378633862267
chr15	20644520	17.8129733094	4.34240781770443
chr15	20644698	17.8146365157	4.34557882300422
chr15	20645098	17.8146365157	4.3527046776105
chr15	20645466	17.8146365157	4.35926046384828
chr15	20646848	17.8052356967	4.38386729958113
chr15	20647586	17.9221418933	4.39709384029841
chr15	20648368	16.6863709323	4.41014258236746
chr15	20650061	16.8952275248	4.43874620256687
chr15	20650645	14.6122893375	4.44727977953998
chr15	20650696	13.0407492604	4.44794485775226
chr15	20650815	13.0407492603	4.44949670691424
chr15	20652999	13.0407492603	4.47797770329873
chr15	20653229	13.0407492603	4.4809770756286
chr15	20654341	12.9181207493	4.49534202590181
chr15	20654955	12.9065141718	4.5032666256033
chr15	20654975	12.8271733465	4.50352316907023
chr15	20655006	12.7396595271	4.50391809851557
chr15	20661045	12.7459882201	4.58089112137649
chr15	20662464	12.7407170463	4.59897019886519
chr15	20663708	12.7407170463	4.61481965087079
chr15	20666507	12.750408383	4.6505080439348
chr15	20667975	12.7503416495	4.66922554547627
chr15	20670463	12.7515980388	4.7009515213968
chr15	20674309	12.7550710342	4.75000752459434
chr15	20681489	12.7641465502	4.84165409682477
chr15	20683862	12.776942327	4.87197378096675
chr15	20688474	13.237029759	4.93302296221525
chr15	20729759	40.8213717972	6.61833329686266
chr15	20730230	40.8213717972	6.63756016297914
chr15	20730409	40.8213717972	6.64486718853084
chr15	20736292	40.8213717972	6.88501931881376
chr15	20736723	40.8213717972	6.90261333005836
chr15	20737112	40.8213717972	6.91849284368747
chr15	20738362	40.8213717972	6.96951955843397
chr15	20738753	40.8213717972	6.98548071480667
chr15	20738791	40.8213717974	6.98703192693497
chr15	20740225	40.8213717972	7.04556977409215
chr15	20741749	40.8213717972	7.10778154471108
chr15	20741872	40.8213717972	7.11280257344214
chr15	20742875	40.8213717972	7.15374640935473
chr15	20743066	40.8213717972	7.161543291368
chr15	20743076	40.821371797	7.16195150508597
chr15	20744110	40.8213717972	7.20416080352427
chr15	20744160	40.8213717972	7.20620187211413
chr15	20751903	40.8213717972	7.52228175393985
chr15	20751918	40.8213717973	7.52289407451681
chr15	20752054	40.8213717972	7.52844578108123
chr15	20752679	40.8213717972	7.55395913845448
chr15	20756270	40.8213717972	7.70054868457822
chr15	20759348	40.8213717972	7.82619686697
chr15	20761859	40.8213717972	7.92869933155278
chr15	20763431	40.8213717972	7.99287052801797
chr15	20778925	40.8213717972	8.62535686264379
chr15	20789236	40.8213717972	9.04626602724472
chr15	20791879	40.8213717972	9.15415691290472
chr15	20792454	40.8213717972	9.17762920168811
chr15	20800514	40.8213717972	9.50664945837354
chr15	20803392	40.8213717972	9.62413336640588
chr15	20803544	40.8213717972	9.63033821491906
chr15	20803948	12.5040367939	9.6353898457838
chr15	20805818	12.5232411628	9.65880830675823
chr15	20806746	12.6641280712	9.6705606176083
chr15	20807195	12.764481211	9.67629186967204
chr15	20807489	12.7100710991	9.68002863057518
chr15	20807577	12.5095207826	9.68112946840405
chr15	20807826	12.5095207826	9.68424433907891
chr15	20809817	12.4556776963	9.70904359337225
chr15	20810642	12.2139805502	9.71912012732616
chr15	20813165	11.9171211099	9.74918702388644
chr15	20820359	11.915183249	9.83490485217975
chr15	20823593	11.9147093386	9.87343702218078
chr15	20837246	11.7998269492	10.0345400595182
chr15	20839308	12.2206230657	10.0597389842797
chr15	20841611	12.2206230657	10.0878830792
chr15	20842184	12.2206230656	10.0948854962166
chr15	20842196	12.2206230667	10.0950321436934
chr15	20842657	12.6584483774	10.1008676883954
chr15	20843322	12.7098489262	10.1093197379313
chr15	20843939	12.7074181854	10.1171602149517
chr15	20847900	12.7064465157	10.1674904496004
chr15	20848098	12.7107321843	10.1700071745729
chr15	20850312	12.7221506585	10.1981740161308
chr15	20851105	12.465544939	10.2080591932674
chr15	20852225	9.4954463598	10.2186940931904
chr15	20852646	6.5397929164	10.2214473460082
chr15	20855063	6.5288356052	10.2372275416659
chr15	20855445	6.4866511304	10.2397054423977
chr15	20856884	5.1017565397	10.2470468700583
chr15	20861128	5.0618211011	10.2685292388114
chr15	20866706	0.8514896735	10.2732788482101
chr15	20872644	0.851854266	10.2783371588416
chr15	20879330	0.8625241635	10.2841039953988
chr15	20883361	1.0993362676	10.2885354198935
chr15	20883375	2.0834520142	10.2885645882217
chr15	20884262	7.8652901897	10.29554110062
chr15	20885152	8.4781025393	10.30308661188
chr15	20885366	8.5491960299	10.3049161398304
chr15	20885667	8.6406839133	10.3075169856883
chr15	20886164	8.6770988986	10.3118295038409
chr15	20886228	8.8871351	10.3123982804873
chr15	20886842	9.0059915498	10.3179279592989
chr15	20888115	9.2578362743	10.3297131848761
chr15	20888630	9.3091964348	10.33450742104
chr15	20888967	11.129974541	10.3382582224603
chr15	20889003	12.7811599777	10.3387183442195
chr15	20889210	12.808997557	10.3413698067138
chr15	20889306	12.8067240531	10.3425992522229
chr15	20889429	12.8032351976	10.3441740501522
chr15	20889473	12.7593264455	10.3447354605158
chr15	20889846	12.7571521381	10.3494938782633
chr15	20890149	12.7553412307	10.3533587466562
