Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr19	253938	0	0
chr19	256859	0.2213076426	0.000646439624035
chr19	259772	0.2213078499	0.001291109390793
chr19	260970	0.2215185766	0.00155648864556
chr19	261033	0.2216183478	0.001570450601471
chr19	266034	0.5755014328	0.004448533266904
chr19	266544	1.8320684644	0.005382888183748
chr19	267039	1.8311074306	0.006289286361895
chr19	267213	1.8285203221	0.006607448897941
chr19	267614	1.7757860518	0.007319539104712
chr19	276245	1.8047069888	0.022895965125045
chr19	277717	1.8259604498	0.025583778907151
chr19	277776	1.8701725155	0.025694119085565
chr19	279645	2.206851283	0.029818724133492
chr19	280299	2.2581877095	0.031295578895505
chr19	281360	2.9319711942	0.034406400332552
chr19	282753	3.2040043919	0.038869578450468
chr19	288246	7.6205580626	0.08072930388833
chr19	288320	8.4426668421	0.081354061234646
chr19	288374	8.6596607153	0.081821682913272
chr19	288738	8.6646864943	0.084975628797197
chr19	292082	10.7762168499	0.121011297943262
chr19	292583	10.9856808764	0.126515124062339
chr19	292901	10.9988181409	0.130012748231145
chr19	292940	11.0156338444	0.130442357951077
chr19	293346	11.6691698183	0.135180040897307
chr19	293671	11.6691698183	0.138972521088254
chr19	293828	11.6766469023	0.140805754651915
chr19	293913	11.69667091	0.141799971679265
chr19	293934	11.7208345522	0.142046109204861
chr19	294212	12.4863524123	0.145517315175481
chr19	294457	16.2953562946	0.149509677467658
chr19	294526	16.3335293189	0.150636690990662
chr19	295131	16.3335293189	0.160518476228596
chr19	295295	11.2974756406	0.162371262233655
chr19	296458	8.2654431329	0.171983972597217
chr19	301619	3.4906424832	0.189999178453013
chr19	301639	1.2713735356	0.190024605923725
chr19	301668	0.5618966837	0.190040900927552
chr19	301900	0.5358903439	0.190165227487337
chr19	304499	0.5356132234	0.191557286254953
chr19	304526	0.5359767195	0.19157175762638
chr19	311037	0.7544876453	0.196484226684928
chr19	311825	0.9208013065	0.19720981811445
chr19	316040	0.5138953769	0.199375887128084
chr19	319822	0.3149122238	0.200566885158495
chr19	326481	0.2740389716	0.20239171067038
chr19	327182	0.2511468261	0.202567764595476
chr19	327323	0.2334270491	0.202600677809399
chr19	327683	0.2206966928	0.202680128618807
chr19	327821	0.2206069893	0.20271057238333
chr19	327998	0.2144909226	0.20274853727663
chr19	328855	0.2148346456	0.20293265056791
chr19	330263	0.2226478434	0.203246138731417
chr19	331028	0.2425559158	0.203431694007004
chr19	334474	0.3513623508	0.204642488667861
chr19	335055	1.1889318173	0.205333258053712
chr19	335946	0.5156696136	0.205792719679429
chr19	340700	0.9963505156	0.210529370030592
chr19	341899	0.9806465604	0.211705165256512
chr19	342617	0.9724553037	0.212403388164568
chr19	344053	0.9498138913	0.213767320912475
chr19	348743	0.9256228155	0.21810849191717
chr19	349160	0.9212410787	0.218492649446988
chr19	352341	0.9064649893	0.221376114577951
chr19	354248	1.0675290298	0.22341189243778
chr19	358990	3.5943915233	0.240456497041268
chr19	362283	3.6074189324	0.252335727585662
chr19	363127	11.6596827017	0.262176499785896
chr19	364695	11.6460321654	0.280437478221243
chr19	366451	11.8513736785	0.30124849040069
chr19	366680	12.1438519441	0.304029432495888
chr19	367089	13.8307374713	0.30968620412165
chr19	367313	23.5340587986	0.314957833292537
chr19	372661	23.6049884998	0.441197311789467
chr19	372775	23.6474925363	0.443893125938605
chr19	373897	23.6474925363	0.470425612564334
chr19	376008	23.5896677276	0.520223401137297
chr19	376382	12.2377854007	0.524800332877159
chr19	376585	2.82798917	0.525374414678669
chr19	379003	2.7975830717	0.53213897054604
chr19	383057	6.9484588244	0.560308022620157
chr19	384644	7.0096212256	0.571432291505184
chr19	384724	7.0461406407	0.57199598275644
chr19	384812	7.0452704254	0.572615966553876
chr19	387791	7.0459220066	0.593605768211537
chr19	388413	7.0460465188	0.597988409146231
chr19	389397	7.0481830393	0.604923821256902
chr19	389805	7.0479627935	0.60779939007665
chr19	389873	7.0469484254	0.608278582569577
chr19	390206	7.0472375754	0.610625312682185
chr19	390341	7.0430906901	0.611576129925349
chr19	390627	6.9463338048	0.613562781393522
chr19	391296	2.6013276895	0.615303069617797
chr19	391569	2.2376349749	0.615913943965945
chr19	391794	0.7791373705	0.616089249874307
chr19	393044	0.7749631071	0.617057953758182
chr19	396948	7.2208819288	0.645248276808218
chr19	397111	7.5685234357	0.646481946128237
chr19	397531	9.4124738437	0.650435185142591
chr19	397896	10.9991689906	0.65444988182416
chr19	401714	11.031218377	0.696567073587546
chr19	401818	11.1083500114	0.697722341988731
chr19	402491	16.6336546373	0.708916791559634
chr19	402556	23.2838179608	0.710430239727086
chr19	405929	23.2838179608	0.788966557708864
chr19	406370	23.2050166767	0.79919997006329
chr19	406934	8.5253345205	0.804008258732851
chr19	409977	8.482007344	0.829819007080643
chr19	411849	8.0955790013	0.844973930971077
chr19	412730	4.5688320768	0.848999072030738
chr19	415294	4.0729202229	0.859442039482253
chr19	416231	3.0333878081	0.862284323858443
chr19	416449	2.9111554132	0.86291895573852
chr19	416664	2.911935054	0.86354502177513
chr19	416834	2.9142228997	0.86404043966808
chr19	416963	2.9115726269	0.86441603253695
chr19	417014	2.9147641424	0.864564685508212
chr19	417262	2.9774545332	0.865303094232446
chr19	417281	3.2061917307	0.865364011875329
chr19	417396	4.5440609575	0.865886578885441
chr19	417556	10.3125036633	0.86753657947157
chr19	417714	12.122718413	0.869451968980823
chr19	417737	14.0456344089	0.869775018572228
chr19	418178	14.0789526466	0.875983836689379
chr19	418436	13.9758362924	0.879589602452818
chr19	418507	13.8733392413	0.88057460953895
chr19	418556	13.6784930993	0.881244855700816
chr19	418624	13.6784930993	0.882174993231568
chr19	418769	13.354517622	0.884111398286758
chr19	418786	13.0631375696	0.884333471625442
chr19	419075	13.0631375696	0.888108718383056
chr19	419204	13.0631375696	0.889793863129534
chr19	419407	13.0343157905	0.892439829235006
chr19	419471	13.0179687794	0.893272979236887
chr19	419498	13.0179687794	0.893624464393931
chr19	419531	12.9873903197	0.894053048274481
chr19	420755	4.2854544753	0.899298444552248
chr19	422238	1.3007953398	0.901227524041172
chr19	422938	0.9028912265	0.901859547899722
chr19	425559	0.9004793947	0.90421970439323
chr19	428608	0.9066335219	0.906984030001504
chr19	431029	1.2508760239	0.910012400855366
chr19	431187	1.7385641675	0.91028709399383
chr19	436690	2.0113419254	0.921355508609307
chr19	438357	2.2907036202	0.92517411154418
chr19	438584	2.4403155111	0.9257280631652
chr19	438916	2.4538054347	0.92654272656952
chr19	439393	2.4538020156	0.927713190130962
chr19	440478	2.3746579615	0.93028969401919
chr19	441195	2.293796781	0.931934346311166
chr19	441243	2.2143743424	0.932040636279601
chr19	446887	2.2012906904	0.944464720936219
chr19	448041	2.1893373169	0.946991216199921
chr19	450282	2.1820920948	0.951881284584368
chr19	450515	2.1772790839	0.952388590610917
chr19	453750	2.17828482	0.959435342003617
chr19	454430	2.189177507	0.960923982708377
chr19	454955	2.1699240765	0.96206319284854
chr19	455285	2.0990325103	0.962755873576938
chr19	464612	2.0931114421	0.982278323997405
chr19	472149	2.5676551345	1.00163074074613
chr19	474588	3.1296764012	1.00926402148866
chr19	478964	3.2628102085	1.02354207896105
chr19	482160	3.2678591009	1.03398615664753
chr19	482221	3.2783379493	1.03418613526244
chr19	482984	3.285639532	1.03669307822536
chr19	484650	3.2845644329	1.04216516257057
chr19	485177	3.2842349019	1.04389595436387
chr19	491433	3.2305538352	1.06410629915688
chr19	494057	3.0560278603	1.07212531626231
chr19	495722	3.0474836179	1.07719937648611
chr19	499978	3.0675817873	1.09025500457286
chr19	501900	3.1204098663	1.09625243233589
chr19	504830	3.0719846855	1.10525334746441
chr19	507450	3.0697842899	1.11329618230395
chr19	507731	3.0693659113	1.11415867412502
chr19	508626	3.0621840095	1.11689932881352
chr19	509158	3.062580357	1.11852862156345
chr19	509569	3.0649971754	1.11978833540254
chr19	509717	3.0776667863	1.12024383008691
chr19	509897	3.1003639287	1.12080189559407
chr19	511453	3.1234948616	1.12566205359872
chr19	514858	6.3372984426	1.14724055479578
chr19	523110	6.3222974639	1.19941215346788
chr19	525105	5.805652802	1.21099443080787
chr19	525739	5.6477581065	1.21457510944739
chr19	529004	5.8177687809	1.23357012451703
chr19	533872	0.3414643255	1.23523237285356
chr19	536610	0.3339471449	1.2361467201363
chr19	536878	0.3219041876	1.23623299045858
chr19	538160	0.3333449609	1.23666033869845
chr19	538487	0.3287269544	1.23676783241254
chr19	538531	0.3254981798	1.23678215433245
chr19	538687	0.3265998673	1.23683310391175
chr19	538740	0.3269658325	1.23685043310087
chr19	538930	0.3314742774	1.23691341321358
chr19	538974	0.3308605802	1.23692797107911
chr19	538994	0.3368016505	1.23693470711212
chr19	539174	0.3636989652	1.23700017292585
chr19	539222	0.3995276056	1.23701935025092
chr19	539250	0.4452961468	1.23703181854303
chr19	539266	0.4856828588	1.23703958946877
chr19	539593	0.6734670573	1.23725981319651
chr19	539730	0.709638704	1.23735703369896
chr19	539817	0.6739381309	1.23741566631635
chr19	539871	0.6742238861	1.2374520744062
chr19	541217	0.6776232018	1.23836415523582
chr19	541260	0.68061938	1.23839342186916
chr19	541685	0.6761934817	1.23868080409888
chr19	541917	0.6773462077	1.23883794841907
chr19	542009	0.6845756445	1.23890092937836
chr19	542395	0.9012982602	1.2392488305068
chr19	542473	1.2284201173	1.23934464727595
chr19	542494	1.5024106243	1.23937619789906
chr19	542654	1.5311866367	1.23962118776093
chr19	542672	3.2769233689	1.23968017238157
chr19	542674	5.12579764	1.23969042397685
chr19	543359	5.3993657147	1.24338898949142
chr19	544140	9.4459997267	1.25076631527797
chr19	544277	9.5071451746	1.25206879416689
chr19	544315	9.5632185721	1.25243219647263
chr19	549595	9.5571849867	1.3028941332024
chr19	549678	9.553675464	1.30368708826591
chr19	551374	9.5515654311	1.31988654323706
chr19	552231	9.5432648328	1.32806512119877
chr19	552650	8.7169346115	1.33171751680099
chr19	552689	6.940472509	1.33198819522884
chr19	554919	10.2897443734	1.35493432518152
chr19	556112	11.1304082474	1.36821290222067
chr19	556632	11.2123891834	1.37404334459604
chr19	556692	11.332227743	1.37472327826062
chr19	558714	11.3970155471	1.39776804369686
chr19	562292	11.3937776399	1.43853498009242
chr19	562530	11.3838562564	1.44124433788144
chr19	572317	5.8929879394	1.49891901084435
chr19	572628	0.7377503819	1.49914845121312
chr19	575083	0.7340272555	1.50095048812537
chr19	577321	0.7812058148	1.5026988267389
chr19	578208	0.88629447	1.50348496993379
chr19	579100	1.2802738126	1.50462697417463
chr19	581633	1.5325430603	1.50850890574637
chr19	581815	1.6054515441	1.50880109792739
chr19	582505	3.7422356516	1.511383240527
chr19	582775	5.4800369707	1.51286285050908
chr19	588305	5.1444963325	1.54131191522781
chr19	588860	4.8408987799	1.54399861405065
chr19	593889	8.4331355608	1.58640885278592
chr19	594599	9.9031108091	1.59344006146038
chr19	605985	10.058221039	1.70796296621043
chr19	607984	10.0495898001	1.72805209622083
chr19	610729	9.9431168946	1.75534595209651
chr19	614967	3.1988861555	1.76890283162352
chr19	618159	0.2730710298	1.76977447435064
chr19	624090	0.2730912857	1.77139417876613
chr19	624502	0.2732048706	1.77150673917281
chr19	628181	1.8829647186	1.77843416637254
chr19	629303	1.7274083201	1.7803723185077
chr19	629438	3.620413264	1.78086107429834
chr19	634095	3.9249211954	1.79913943230531
chr19	638853	4.6230455095	1.82113588283951
chr19	641215	4.7770705013	1.83241932336358
chr19	642955	4.9716279336	1.84106995596805
chr19	646151	5.8526179253	1.85977492285731
chr19	646900	6.0147085399	1.86427993955369
chr19	647039	6.029648906	1.86511806075163
chr19	647251	6.0293687802	1.86639628693303
chr19	651343	5.7125339384	1.88977197580896
chr19	651852	4.4501783119	1.89203711656972
chr19	655608	2.8875443289	1.90288273306907
chr19	657666	2.8843970865	1.90881882227308
chr19	660913	2.8853825762	1.91818765949801
chr19	661080	2.8917528434	1.91867058222285
chr19	661781	2.8926681423	1.92069834259061
chr19	663929	2.8878562117	1.92690145773334
chr19	663956	2.8817045567	1.92697926375637
chr19	665186	2.8792818406	1.93052078042031
chr19	666926	2.8785006577	1.93552937156471
chr19	667118	2.8791016387	1.93608215907934
chr19	670525	2.9110667187	1.94600016338995
chr19	670606	2.9644170146	1.94624028116813
chr19	670828	11.6834370117	1.94883400418472
chr19	674443	11.141734223	1.98911137340087
chr19	675106	2.2397608195	1.9905963348242
chr19	675513	1.4078380969	1.99116932492963
chr19	682010	1.1512255402	1.99864883726431
chr19	683221	1.1419639909	2.00003175565729
chr19	685481	1.5777887291	2.00359755818506
chr19	687142	1.6321268696	2.00630852091547
chr19	687835	3.9578648494	2.0090513212561
chr19	690369	3.9600149102	2.01908599903855
chr19	690548	3.9341515905	2.01979021217325
